LAC2020,LAN2020,DECILE1,DECILE2,DECILE3,DECILE4,DECILE5,DECILE6,DECILE7,DECILE8,DECILE9,DECILE10,LSOA_TOT,PCT1,PCT2,PCT3,PCT4,PCT5,PCT6,PCT7,PCT8,PCT9,PCT10,PCT_TOT
E07000041,Exeter,0,6,7,5,10,8,9,9,13,7,74,0.0,8.1,9.5,6.8,13.5,10.8,12.2,12.2,17.6,9.5,100.0
E07000042,Mid Devon,0,0,3,6,14,6,6,4,3,1,43,0.0,0.0,7.0,14.0,32.6,14.0,14.0,9.3,7.0,2.3,100.0
E07000043,North Devon,3,4,6,12,10,5,6,7,5,0,58,5.2,6.9,10.3,20.7,17.2,8.6,10.3,12.1,8.6,0.0,100.0
E07000044,South Hams,0,0,1,3,8,14,6,4,8,5,49,0.0,0.0,2.0,6.1,16.3,28.6,12.2,8.2,16.3,10.2,100.0
E07000045,Teignbridge,0,3,7,8,11,14,16,7,12,6,84,0.0,3.6,8.3,9.5,13.1,16.7,19.0,8.3,14.3,7.1,100.0
E07000046,Torridge,0,2,6,15,6,3,3,2,0,0,37,0.0,5.4,16.2,40.5,16.2,8.1,8.1,5.4,0.0,0.0,100.0
E07000047,West Devon,0,0,0,7,11,6,4,0,2,1,31,0.0,0.0,0.0,22.6,35.5,19.4,12.9,0.0,6.5,3.2,100.0
E07000061,Eastbourne,4,8,6,12,6,10,1,7,5,2,61,6.6,13.1,9.8,19.7,9.8,16.4,1.6,11.5,8.2,3.3,100.0
E07000062,Hastings,16,7,8,8,6,2,5,1,0,0,53,30.2,13.2,15.1,15.1,11.3,3.8,9.4,1.9,0.0,0.0,100.0
E07000063,Lewes,0,2,7,5,5,10,9,14,4,6,62,0.0,3.2,11.3,8.1,8.1,16.1,14.5,22.6,6.5,9.7,100.0
E07000064,Rother,2,4,6,6,15,5,8,7,5,0,58,3.4,6.9,10.3,10.3,25.9,8.6,13.8,12.1,8.6,0.0,100.0
E07000065,Wealden,0,4,0,3,6,19,14,19,17,13,95,0.0,4.2,0.0,3.2,6.3,20.0,14.7,20.0,17.9,13.7,100.0
E07000066,Basildon,12,14,20,10,6,7,9,6,11,15,110,10.9,12.7,18.2,9.1,5.5,6.4,8.2,5.5,10.0,13.6,100.0
E07000067,Braintree,0,2,4,7,15,16,10,15,10,8,87,0.0,2.3,4.6,8.0,17.2,18.4,11.5,17.2,11.5,9.2,100.0
E07000068,Brentwood,0,0,0,3,3,7,5,3,9,16,46,0.0,0.0,0.0,6.5,6.5,15.2,10.9,6.5,19.6,34.8,100.0
E07000069,Castle Point,1,4,3,5,11,4,6,11,9,3,57,1.8,7.0,5.3,8.8,19.3,7.0,10.5,19.3,15.8,5.3,100.0
E07000070,Chelmsford,0,1,8,5,8,9,16,16,18,26,107,0.0,0.9,7.5,4.7,7.5,8.4,15.0,15.0,16.8,24.3,100.0
E07000071,Colchester,1,10,6,10,13,17,14,10,16,8,105,1.0,9.5,5.7,9.5,12.4,16.2,13.3,9.5,15.2,7.6,100.0
E07000072,Epping Forest,0,1,5,10,13,8,7,17,8,9,78,0.0,1.3,6.4,12.8,16.7,10.3,9.0,21.8,10.3,11.5,100.0
E07000073,Harlow,0,1,12,15,14,2,3,4,3,0,54,0.0,1.9,22.2,27.8,25.9,3.7,5.6,7.4,5.6,0.0,100.0
E07000074,Maldon,0,0,2,2,6,7,8,9,2,4,40,0.0,0.0,5.0,5.0,15.0,17.5,20.0,22.5,5.0,10.0,100.0
E07000075,Rochford,0,1,0,4,4,3,3,10,13,15,53,0.0,1.9,0.0,7.5,7.5,5.7,5.7,18.9,24.5,28.3,100.0
